epoch,step,train_loss_epoch,train_loss_step
300,3009,2827921.0,
301,3019,2770100.75,
302,3029,2713209.75,
303,3039,2657243.0,
304,3049,,7028083.5
304,3049,2602188.0,
305,3059,2548027.75,
306,3069,2494759.0,
307,3079,2442369.5,
308,3089,2390849.5,
309,3099,,6320164.0
309,3099,2340190.5,
310,3109,2290378.75,
311,3119,2241412.0,
312,3129,2193276.25,
313,3139,2145957.0,
314,3149,,5669730.5
314,3149,2099450.5,
315,3159,2053743.625,
316,3169,2008828.875,
317,3179,1964697.625,
318,3189,1921340.0,
319,3199,,5073466.5
319,3199,1878745.5,
320,3209,1836904.625,
321,3219,1795805.75,
322,3229,1755441.75,
323,3239,1715805.375,
324,3249,,4528147.5
324,3249,1676885.375,
325,3259,1638673.25,
326,3269,1601159.0,
327,3279,1564335.5,
328,3289,1528193.25,
329,3299,,4030671.75
329,3299,1492721.0,
330,3309,1457910.75,
331,3319,1423753.875,
332,3329,1390245.0,
333,3339,1357371.5,
334,3349,,3577987.75
334,3349,1325126.5,
335,3359,1293499.125,
336,3369,1262481.0,
337,3379,1232065.625,
338,3389,1202247.625,
339,3399,,3167140.75
339,3399,1173011.625,
340,3409,1144352.0,
341,3419,1116260.625,
342,3429,1088732.25,
343,3439,1061755.125,
344,3449,,2795278.75
344,3449,1035321.375,
345,3459,1009422.5625,
346,3469,984051.8125,
347,3479,959202.4375,
348,3489,934864.8125,
349,3499,,2459640.0
349,3499,911033.4375,
350,3509,887699.875,
351,3519,864853.8125,
352,3529,842489.8125,
353,3539,820600.6875,
354,3549,,2157593.75
354,3549,799178.3125,
355,3559,778215.8125,
356,3569,757705.3125,
357,3579,737638.3125,
358,3589,718010.3125,
359,3599,,1886600.125
359,3599,698814.25,
360,3609,680041.3125,
361,3619,661684.125,
362,3629,643735.9375,
363,3639,626190.125,
364,3649,,1644215.875
364,3649,609040.8125,
365,3659,592279.9375,
366,3669,575903.9375,
367,3679,559901.5625,
368,3689,544267.5,
369,3699,,1428118.125
369,3699,528997.5625,
370,3709,514083.53125,
371,3719,499522.40625,
372,3729,485302.625,
373,3739,471420.40625,
374,3749,,1236101.375
374,3749,457869.53125,
375,3759,444645.125,
376,3769,431741.28125,
377,3779,419148.5,
378,3789,406864.625,
379,3799,,1066069.25
379,3799,394880.75,
380,3809,383192.3125,
381,3819,371796.03125,
382,3829,360685.15625,
383,3839,349854.15625,
384,3849,,916032.3125
384,3849,339295.96875,
385,3859,329006.65625,
386,3869,318980.28125,
387,3879,309210.71875,
388,3889,299694.9375,
389,3899,,784124.9375
389,3899,290425.5625,
390,3909,281399.15625,
391,3919,272609.34375,
392,3929,264053.0,
393,3939,255723.578125,
394,3949,,668590.25
394,3949,247618.078125,
395,3959,239729.609375,
396,3969,232054.53125,
397,3979,224588.90625,
398,3989,217327.890625,
399,3999,,567782.8125
399,3999,210266.390625,
400,4009,203401.65625,
401,4019,196728.3125,
402,4029,190241.25,
403,4039,183936.390625,
404,4049,,480192.28125
404,4049,177810.71875,
405,4059,171859.09375,
406,4069,166078.75,
407,4079,160465.84375,
408,4089,155014.328125,
409,4099,,404391.96875
409,4099,149722.9375,
410,4109,144585.796875,
411,4119,139600.59375,
412,4129,134762.984375,
413,4139,130069.015625,
414,4149,,339067.15625
414,4149,125516.828125,
415,4159,121102.375,
416,4169,116822.078125,
417,4179,112672.8984375,
418,4189,108650.7421875,
419,4199,,283030.34375
419,4199,104752.0625,
420,4209,100974.375,
421,4219,97315.1484375,
422,4229,93771.453125,
423,4239,90338.65625,
424,4249,,235165.4375
424,4249,87015.7421875,
425,4259,83798.734375,
426,4269,80685.1484375,
427,4279,77672.0390625,
428,4289,74757.03125,
429,4299,,194471.703125
429,4299,71937.6640625,
430,4309,69210.671875,
431,4319,66574.046875,
432,4329,64024.9453125,
433,4339,61561.34375,
434,4349,,160040.765625
434,4349,59180.7890625,
435,4359,56880.71875,
436,4369,54659.1796875,
437,4379,52512.7578125,
438,4389,50441.0546875,
439,4399,,131051.0546875
439,4399,48440.76171875,
440,4409,46510.11328125,
441,4419,44647.30859375,
442,4429,42849.84765625,
443,4439,41115.98046875,
444,4449,,106763.5078125
444,4449,39444.0390625,
445,4459,37832.30859375,
446,4469,36278.57421875,
447,4479,34781.37109375,
448,4489,33338.33203125,
449,4499,,86526.3203125
449,4499,31948.755859375,
450,4509,30610.05078125,
451,4519,29321.34765625,
452,4529,28080.416015625,
453,4539,26885.900390625,
454,4549,,69749.765625
454,4549,25736.666015625,
455,4559,24630.81640625,
456,4569,23567.24609375,
457,4579,22544.6640625,
458,4589,21561.30859375,
459,4599,,55917.12109375
459,4599,20615.96875,
460,4609,19707.775390625,
461,4619,18835.2265625,
462,4629,17996.978515625,
463,4639,17192.025390625,
464,4649,,44576.78515625
464,4649,16419.197265625,
465,4659,15677.4365234375,
466,4669,14965.5166015625,
467,4679,14282.6591796875,
468,4689,13627.8564453125,
469,4699,,35332.9765625
469,4699,12999.7578125,
470,4709,12397.6796875,
471,4719,11820.2294921875,
472,4729,11266.8779296875,
473,4739,10737.12890625,
474,4749,,27840.40625
474,4749,10229.650390625,
475,4759,9743.689453125,
476,4769,9278.509765625,
477,4779,8833.4384765625,
478,4789,8407.37890625,
479,4799,,21806.1328125
479,4799,7999.88623046875,
480,4809,7610.29443359375,
481,4819,7237.73291015625,
482,4829,6881.58740234375,
483,4839,6541.3271484375,
484,4849,,16974.8125
484,4849,6216.04833984375,
485,4859,5905.45068359375,
486,4869,5609.0322265625,
487,4879,5326.0771484375,
488,4889,5055.9951171875,
489,4899,,13131.5615234375
489,4899,4798.27587890625,
490,4909,4552.57958984375,
491,4919,4318.17578125,
492,4929,4094.73193359375,
493,4939,3881.8271484375,
494,4949,,10094.2685546875
494,4949,3679.0263671875,
495,4959,3485.802734375,
496,4969,3301.860107421875,
497,4979,3126.726806640625,
498,4989,2960.14404296875,
499,4999,,7709.83740234375
499,4999,2801.577880859375,
500,5009,2650.7177734375,
501,5019,2507.348876953125,
502,5029,2370.980712890625,
503,5039,2241.37890625,
504,5049,,5850.30712890625
504,5049,2118.3037109375,
505,5059,2001.2991943359375,
506,5069,1890.248779296875,
507,5079,1784.833251953125,
508,5089,1684.7431640625,
509,5099,,4409.63623046875
509,5099,1589.9537353515625,
510,5109,1500.008056640625,
511,5119,1414.7950439453125,
512,5129,1333.948974609375,
513,5139,1257.316650390625,
514,5149,,3302.233642578125
514,5149,1184.7666015625,
515,5159,1116.0035400390625,
516,5169,1050.8896484375,
517,5179,989.3436279296875,
518,5189,931.0775146484375,
519,5199,,2456.033447265625
519,5199,875.9879760742188,
520,5209,823.9512939453125,
521,5219,774.7548828125,
522,5229,728.2332763671875,
523,5239,684.2918701171875,
524,5249,,1814.8665771484375
524,5249,642.8385620117188,
525,5259,603.6962280273438,
526,5269,566.7042236328125,
527,5279,531.8294067382812,
528,5289,498.95294189453125,
529,5299,,1332.0552978515625
529,5299,467.9688415527344,
530,5309,438.7612609863281,
531,5319,411.2430419921875,
532,5329,385.3003234863281,
533,5339,360.8797607421875,
534,5349,,971.2606811523438
534,5349,337.9410095214844,
535,5359,316.3648376464844,
536,5369,296.0784606933594,
537,5379,276.99896240234375,
538,5389,259.0618591308594,
539,5399,,704.061767578125
539,5399,242.21408081054688,
540,5409,226.37005615234375,
541,5419,211.51022338867188,
542,5429,197.54483032226562,
543,5439,184.42715454101562,
544,5449,,507.0338439941406
544,5449,172.14743041992188,
545,5459,160.62496948242188,
546,5469,149.8404541015625,
547,5479,139.75379943847656,
548,5489,130.28321838378906,
549,5499,,363.256103515625
549,5499,121.44063568115234,
550,5509,113.16533660888672,
551,5519,105.39932250976562,
552,5529,98.13431549072266,
553,5539,91.36174774169922,
554,5549,,258.8359069824219
554,5549,85.02839660644531,
555,5559,79.1168441772461,
556,5569,73.60140991210938,
557,5579,68.4505386352539,
558,5589,63.64246368408203,
559,5599,,183.67288208007812
559,5599,59.16474914550781,
560,5609,54.994476318359375,
561,5619,51.105506896972656,
562,5629,47.480743408203125,
563,5639,44.11521530151367,
564,5649,,129.95545959472656
564,5649,40.97340393066406,
565,5659,38.06294250488281,
566,5669,35.35067367553711,
567,5679,32.828269958496094,
568,5689,30.4783935546875,
569,5699,,91.77938079833984
569,5699,28.299306869506836,
570,5709,26.27454376220703,
571,5719,24.39179801940918,
572,5729,22.6414852142334,
573,5739,21.01969337463379,
574,5749,,64.72066497802734
574,5749,19.527647018432617,
575,5759,18.15178108215332,
576,5769,16.867727279663086,
577,5779,15.675661087036133,
578,5789,14.577481269836426,
579,5799,,45.7450065612793
579,5799,13.560529708862305,
580,5809,12.61842155456543,
581,5819,11.751029968261719,
582,5829,10.948787689208984,
583,5839,10.208415985107422,
584,5849,,32.44743728637695
584,5849,9.526789665222168,
585,5859,8.897356986999512,
586,5869,8.313652992248535,
587,5879,7.774298667907715,
588,5889,7.286693572998047,
589,5899,,23.13936996459961
589,5899,6.827652454376221,
590,5909,6.412458419799805,
591,5919,6.026808738708496,
592,5929,5.674458026885986,
593,5939,5.348124980926514,
594,5949,,16.671382904052734
594,5949,5.051311492919922,
595,5959,4.778097629547119,
596,5969,4.528863906860352,
597,5979,4.29739236831665,
598,5989,4.084470272064209,
599,5999,,12.160847663879395
599,5999,3.8915514945983887,
600,6009,3.716789484024048,
601,6019,3.5533297061920166,
602,6029,3.40547776222229,
603,6039,3.2713239192962646,
604,6049,,9.021661758422852
604,6049,3.1452128887176514,
605,6059,3.03220272064209,
606,6069,2.9290788173675537,
607,6079,2.8349268436431885,
608,6089,2.747302293777466,
609,6099,,6.815435886383057
609,6099,2.668628215789795,
610,6109,2.5992555618286133,
611,6119,2.5336008071899414,
